language	done	key_droid	key_apple	base_value	lang_value	base_note	lang_note
Hebrew_he	no		apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org הוא שירות ציבורי שניתן על ידי ד"ר גרגר, שירות שאינו מסחרי, ללא מטרות רווח, ומבוסס מדע. האתר מספק עדכונים יומיים בחינם על החידושים בחקר התזונה באמצעות סרטונים קצרים. יש בו כמעט אלף סרטונים על כל היבט של תזונה בריאה. סרטונים ומאמרים חדשים עולים מדי יום.		
Hebrew_he	no	store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen - It’s your regular routine that determines your long-term health. Download today!	"התריסר היומי" של דוקטור גרגר. זו השגרה הקבועה שלכם שקובעת את בריאותכם לטווח הארוך. הורידו היום!		
Hebrew_he	no	android_store_description.1		All proceeds from his books, DVDs, and speaking engagements are donated to charity.	כל ההכנסות שלו מהספרים, התקליטורים וההרצאות שלו נתרמות לצדקה.		
Hebrew_he	no	android_store_description.2		NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	NutritionFacts.org הוא שירות ציבורי שניתן על ידי ד"ר גרגר. השירות אינו מסחרי, ללא מטרות רווח ומבוסס מדע , והוא מספק עדכונים יומיים בחינם על החידושים האחרונים במחקר התזונה באמצעות סרטונים קצרים. יש בו כמעט אלף סרטונים על כל היבט של תזונה בריאה.סרטונים ומאמרים חדשים עולים מדי יום. כמו אפליקציה זו, הכל באתר אף הוא ללא פרסומות וללא תשלום.		
Italian_it	no		apple_store_description.2	In the years of research required to create the more than two-thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	Micheal Greger, medico membro dell'American College of Lifestyle Medicine, dopo anni di ricerca in cui ha prodotto oltre un migliaio di video basati sull'evidenza (disponibili sul sito NutritionFacts.org), ha stilato una lista di quelli che considera gli alimenti più importanti da includere in una sana dieta giornaliera.		FACLM:         Fellow of the American College of Lifestyle Medicine  M.D. doctor of medicine  In my opinion, "membro della American College of Lifestyle Medicine" can be omitted if space saving is needed. If the information is reputed necessary  for highlighting the qualifications of dr Greger , it could be added at a different point in the app.
Italian_it	no		apple_store_description.4	All the proceeds from his books, DVDs, and speaking engagements are all donated to charity.	I ricavi delle vendite di libri, DVD e interventi in pubblico sono interamente devoluti in beneficenza.		
Italian_it	no		apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org è un servizio pubblico su base scientifica, non commerciale e senza scopo di lucro, offerto dal dottor Greger, che propone aggiornamenti gratuiti sulle più recenti scoperte in materia di nutrizione con nuovi video e articoli pubblicati ogni giorno. Ne ha prodotto circa un migliaio, toccando tutti gli aspetti di un’alimentazione sana, ogni volta con nuovi contenuti. Tutto quello che trovate nel sito, così come questa app, è gratuito e non contiene pubblicità.		
Italian_it	no	store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen - It’s your regular routine that determines your long-term health. Download today!	Daily Dozen del dottor Greger è una sana abitudine per mantenersi in salute nel tempo. Scaricala adesso!		
Italian_it	no	android_store_description.1		All proceeds from his books, DVDs, and speaking engagements are donated to charity.	I ricavi delle vendite di libri, DVD e interventi in pubblico sono interamente devoluti in beneficenza.		
Italian_it	no	android_store_description.2		NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	NutritionFacts.org è un servizio pubblico su base scientifica, non commerciale e senza scopo di lucro, offerto dal dottor Greger, che propone aggiornamenti gratuiti sulle più recenti scoperte in materia di nutrizione con nuovi video e articoli pubblicati ogni giorno. Ne ha prodotto circa un migliaio, toccando tutti gli aspetti di un’alimentazione sana, con nuovi contenuti ogni giorno. Tutto quello che trovate nel sito, così come questa app, è gratuito e non contiene pubblicità.		I tried to condense the content of this segment as much as possible.  A better flowing version, but longer, is this:  NutritionFacts.org è un servizio pubblico su base scientifica, non commerciale e senza scopo di lucro, offerto dal dottor Greger che propone, ogni giorno, con brevi video, aggiornamenti gratuiti sulle più recenti scoperte in materia di nutrizione. Il dottor Greger ha prodotto circa un migliaio di video, toccando tutti gli aspetti di un’alimentazione sana, con nuovi video e articoli disponibili ogni giorno. Tutto quello che trovate nel sito, così come questa app, è gratuito e non contiene pubblicità.
