language	done	key_droid	key_apple	base_value	lang_value	base_note	lang_note
German_de	yes		apple_store_description.4	All the proceeds from his books, DVDs, and speaking engagements are all donated to charity.	Alle Erlöse aus seinen Büchern, DVDs und Vorträgen werden vollständig für wohltätige Zwecke gespendet.		
German_de	yes		apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org ist ein nicht-kommerzielles, gemeinnütziges, wissenschaftlich fundiertes Angebot von Dr. Greger, das täglich kurze, verständliche Videos mit den neuesten wissenschaftlichen Erkenntnissen zur Ernährung veröffentlicht. Das Angebot umfasst bereits mehr als 2000 Videos zu allen Bereichen einer gesunden Ernährung, und täglich kommen neue Videos und Artikel hinzu.		
German_de	yes	store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen - It’s your regular routine that determines your long-term health. Download today!	Dr. Gregers tägliches Dutzend – Ihre tägliche Routine bestimmt Ihre langfristige Gesundheit. Jetzt herunterladen!		
German_de	yes	android_store_description.1		All proceeds from his books, DVDs, and speaking engagements are donated to charity.	Alle Erlöse aus seinen Büchern, DVDs und Vorträgen werden vollständig für wohltätige Zwecke gespendet.		
German_de	yes	android_store_description.2		NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	NutritionFacts.org ist ein nicht-kommerzielles, gemeinnütziges, wissenschaftlich fundiertes Angebot von Dr. Greger, das täglich kurze, verständliche Videos mit den neuesten wissenschaftlichen Erkenntnissen zur Ernährung veröffentlicht. Das Angebot umfasst bereits mehr als 2000 Videos zu allen Bereichen einer gesunden Ernährung, und täglich kommen neue Videos und Artikel hinzu. Wie diese App ist auch die gesamte Website werbefrei und kostenlos.		
Hebrew_he	yes		apple_store_description.2	In the years of research required to create the more than two-thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	במשך שנות מחקר שנדרשו ליצירת יותר מאלפיים סרטונים מבוססי ראיות באתר האינטרנט שלו NutritionFacts.org, מייקל גרגר, MD, FACLM, הגיע לרשימה של מה שהוא מחשיב כמזונות החשובים ביותר שיש לכלול בתזונה בריאה יומיומית.		
Hebrew_he	yes		apple_store_description.4	All the proceeds from his books, DVDs, and speaking engagements are all donated to charity.	כל ההכנסות שלו מהספרים, מהתקליטורים ומההרצאות שלו נתרמות כולן לצדקה.		
Hebrew_he	yes		apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org הוא שירות ציבורי שניתן על ידי ד״ר גרגר, שירות שאינו מסחרי, ללא מטרות רווח, ומבוסס מדע. האתר מספק עדכונים יומיים בחינם על החידושים בחקר התזונה באמצעות סרטונים קצרים. יש בו כמעט אלפיים סרטונים על כל היבט של תזונה בריאה. סרטונים ומאמרים חדשים עולים מדי יום.		
Hebrew_he	yes	store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen - It’s your regular routine that determines your long-term health. Download today!	״התריסר היומי״ של דוקטור גרגר. זו השגרה הקבועה שלכם שקובעת את בריאותכם לטווח הארוך. הורידו היום!		
Hebrew_he	yes	android_store_description.1		All proceeds from his books, DVDs, and speaking engagements are donated to charity.	כל ההכנסות שלו מהספרים, התקליטורים וההרצאות שלו נתרמות לצדקה.		
