key_droid	key_apple	base_value	lang_value	base_comment
food_info_types_greens[2]	dozeGreensVarietyText[2]	Collard greens	Col de cabdell	  
food_info_types_greens[3]	dozeGreensVarietyText[3]	Kale (black, green, and red)	Col kale (negra, verda i vermella)	  
food_info_types_greens[4]	dozeGreensVarietyText[4]	Mesclun mix (assorted young salad greens)	Espinacs	  
food_info_types_greens[5]	dozeGreensVarietyText[5]	Mustard greens	Mesclum (barreja de fulles verdes tendres)	  
food_info_types_greens[6]	dozeGreensVarietyText[6]	Sorrel	Mostassa bruna	  
food_info_types_greens[7]	dozeGreensVarietyText[7]	Spinach	Naps	  
food_info_types_greens[8]	dozeGreensVarietyText[8]	Swiss chard	Remolatxa	  
food_info_types_greens[9]	dozeGreensVarietyText[9]	Turnip greens	Ruca	  
food_info_types_spices[0]	dozeSpicesVarietyText[0]	Allspice		  
food_info_types_spices[1]	dozeSpicesVarietyText[1]	Barberries		  
food_info_types_spices[2]	dozeSpicesVarietyText[2]	Basil		  
food_info_types_spices[3]	dozeSpicesVarietyText[3]	Bay leaves		  
food_info_types_spices[4]	dozeSpicesVarietyText[4]	Cardamom		  
food_info_types_spices[5]	dozeSpicesVarietyText[5]	Chili powder		  
food_info_types_spices[6]	dozeSpicesVarietyText[6]	Cilantro		  
food_info_types_spices[7]	dozeSpicesVarietyText[7]	Cinnamon		  
food_info_types_spices[8]	dozeSpicesVarietyText[8]	Cloves		  
food_info_types_spices[9]	dozeSpicesVarietyText[9]	Coriander		  
food_info_types_spices[10]	dozeSpicesVarietyText[10]	Cumin		  
food_info_types_spices[11]	dozeSpicesVarietyText[11]	Curry powder		  
food_info_types_spices[12]	dozeSpicesVarietyText[12]	Dill		  
food_info_types_spices[13]	dozeSpicesVarietyText[13]	Fenugreek		  
food_info_types_spices[14]	dozeSpicesVarietyText[14]	Garlic		  
food_info_types_spices[15]	dozeSpicesVarietyText[15]	Ginger		  
food_info_types_spices[16]	dozeSpicesVarietyText[16]	Horseradish		  
food_info_types_spices[17]	dozeSpicesVarietyText[17]	Lemongrass		  
food_info_types_spices[18]	dozeSpicesVarietyText[18]	Marjoram		  
food_info_types_spices[19]	dozeSpicesVarietyText[19]	Mustard powder		  
food_info_types_spices[20]	dozeSpicesVarietyText[20]	Nutmeg		  
food_info_types_spices[21]	dozeSpicesVarietyText[21]	Oregano		  
food_info_types_spices[22]	dozeSpicesVarietyText[22]	Smoked paprika		  
food_info_types_spices[23]	dozeSpicesVarietyText[23]	Parsley		  
food_info_types_spices[24]	dozeSpicesVarietyText[24]	Pepper		  
food_info_types_spices[25]	dozeSpicesVarietyText[25]	Peppermint		  
food_info_types_spices[26]	dozeSpicesVarietyText[26]	Rosemary		  
food_info_types_spices[27]	dozeSpicesVarietyText[27]	Saffron		  
food_info_types_spices[28]	dozeSpicesVarietyText[28]	Sage		  
food_info_types_spices[29]	dozeSpicesVarietyText[29]	Thyme		  
food_info_types_spices[30]	dozeSpicesVarietyText[30]	Turmeric		  
food_info_types_spices[31]	dozeSpicesVarietyText[31]	Vanilla		  
food_info_types_nuts[0]	dozeNutsVarietyText[0]	Almonds	Ametlles	  
food_info_types_nuts[1]	dozeNutsVarietyText[1]	Brazil nuts	Anacards	  
food_info_types_nuts[2]	dozeNutsVarietyText[2]	Cashews	Avellanes	  
food_info_types_nuts[3]	dozeNutsVarietyText[3]	Chia seeds	Llavors de cànem	  
food_info_types_nuts[4]	dozeNutsVarietyText[4]	Hazelnuts	Llavors de carabassa	  
food_info_types_nuts[5]	dozeNutsVarietyText[5]	Hemp seeds	Llavors de gira-sol	  
food_info_types_nuts[6]	dozeNutsVarietyText[6]	Macadamia nuts	Llavors de sèsam	  
food_info_types_nuts[7]	dozeNutsVarietyText[7]	Pecans	Llavors de xia	  
food_info_types_nuts[8]	dozeNutsVarietyText[8]	Pistachios	Nous	  
food_info_types_nuts[9]	dozeNutsVarietyText[9]	Pumpkin seeds	Nous de macadàmia	  
food_info_types_nuts[10]	dozeNutsVarietyText[10]	Sesame seeds	Nous del Brasil	  
food_info_types_nuts[11]	dozeNutsVarietyText[11]	Sunflower seeds	Pacana	  
food_info_types_nuts[12]	dozeNutsVarietyText[12]	Walnuts	Pistatxo o festuc	  
food_info_types_beans[0]	dozeBeansVarietyText[0]	Black beans		  
food_info_types_beans[1]	dozeBeansVarietyText[1]	Black-eyed peas		  
food_info_types_beans[2]	dozeBeansVarietyText[2]	Butter beans		  
food_info_types_beans[3]	dozeBeansVarietyText[3]	Cannellini beans		  
food_info_types_beans[4]	dozeBeansVarietyText[4]	Chickpeas		  
food_info_types_beans[5]	dozeBeansVarietyText[5]	Edamame		  
food_info_types_beans[6]	dozeBeansVarietyText[6]	English peas		  
food_info_types_beans[7]	dozeBeansVarietyText[7]	Garbanzo beans		  
food_info_types_beans[8]	dozeBeansVarietyText[8]	Great northern beans		  
food_info_types_beans[9]	dozeBeansVarietyText[9]	Kidney beans		  
food_info_types_beans[10]	dozeBeansVarietyText[10]	Lentils (beluga, french, and red varieties)		  
food_info_types_beans[11]	dozeBeansVarietyText[11]	Miso		  
food_info_types_beans[12]	dozeBeansVarietyText[12]	Navy beans		  
food_info_types_beans[13]	dozeBeansVarietyText[13]	Pinto beans		  
food_info_types_beans[14]	dozeBeansVarietyText[14]	Small red beans		  
food_info_types_beans[15]	dozeBeansVarietyText[15]	Split peas (yellow or green)		  
