key_droid	key_apple	base_value	lang_value	base_comment
food_info_types_exercise[48]	dozeExerciseVarietyText[48]	Speed skating	Speed skating	  
food_info_types_exercise[49]	dozeExerciseVarietyText[49]	Squash	Squash	  
food_info_types_exercise[50]	dozeExerciseVarietyText[50]	Step aerobics	Step aerobics	  
food_info_types_exercise[51]	dozeExerciseVarietyText[51]	Swimming laps	Swimming laps	  
food_info_types_exercise[52]	dozeExerciseVarietyText[52]	Walking briskly uphill	Walking briskly uphill	  
food_info_types_exercise[53]	dozeExerciseVarietyText[53]	Water jogging	Water jogging	  
food_info_types_spices[0]	dozeSpicesVarietyText[0]	Allspice	Allspice	  
food_info_types_spices[1]	dozeSpicesVarietyText[1]	Barberries	Barberries	  
food_info_types_spices[2]	dozeSpicesVarietyText[2]	Basil	Basil	  
food_info_types_spices[3]	dozeSpicesVarietyText[3]	Bay leaves	Bay leaves	  
food_info_types_spices[4]	dozeSpicesVarietyText[4]	Cardamom	Cardamom	  
food_info_types_spices[5]	dozeSpicesVarietyText[5]	Chili powder	Chili powder	  
food_info_types_spices[6]	dozeSpicesVarietyText[6]	Cilantro	Cilantro	  
food_info_types_spices[7]	dozeSpicesVarietyText[7]	Cinnamon	Cinnamon	  
food_info_types_spices[8]	dozeSpicesVarietyText[8]	Cloves	Cloves	  
food_info_types_spices[9]	dozeSpicesVarietyText[9]	Coriander	Coriander	  
food_info_types_spices[10]	dozeSpicesVarietyText[10]	Cumin	Cumin	  
food_info_types_spices[11]	dozeSpicesVarietyText[11]	Curry powder	Curry powder	  
food_info_types_spices[12]	dozeSpicesVarietyText[12]	Dill	Dill	  
food_info_types_spices[13]	dozeSpicesVarietyText[13]	Fenugreek	Fenugreek	  
food_info_types_spices[14]	dozeSpicesVarietyText[14]	Garlic	Garlic	  
food_info_types_spices[15]	dozeSpicesVarietyText[15]	Ginger	Ginger	  
food_info_types_spices[16]	dozeSpicesVarietyText[16]	Horseradish	Horseradish	  
food_info_types_spices[17]	dozeSpicesVarietyText[17]	Lemongrass	Lemongrass	  
food_info_types_spices[18]	dozeSpicesVarietyText[18]	Marjoram	Marjoram	  
food_info_types_spices[19]	dozeSpicesVarietyText[19]	Mustard powder	Mustard powder	  
food_info_types_spices[20]	dozeSpicesVarietyText[20]	Nutmeg	Nutmeg	  
food_info_types_spices[21]	dozeSpicesVarietyText[21]	Oregano	Oregano	  
food_info_types_spices[22]	dozeSpicesVarietyText[22]	Smoked paprika	Smoked paprika	  
food_info_types_spices[23]	dozeSpicesVarietyText[23]	Parsley	Parsley	  
food_info_types_spices[24]	dozeSpicesVarietyText[24]	Pepper	Pepper	  
food_info_types_spices[25]	dozeSpicesVarietyText[25]	Peppermint	Peppermint	  
food_info_types_spices[26]	dozeSpicesVarietyText[26]	Rosemary	Rosemary	  
food_info_types_spices[27]	dozeSpicesVarietyText[27]	Saffron	Saffron	  
food_info_types_spices[28]	dozeSpicesVarietyText[28]	Sage	Sage	  
food_info_types_spices[29]	dozeSpicesVarietyText[29]	Thyme	Thyme	  
food_info_types_spices[30]	dozeSpicesVarietyText[30]	Turmeric	Turmeric	  
food_info_types_spices[31]	dozeSpicesVarietyText[31]	Vanilla	Vanilla	  
food_info_types_whole_grains[0]	dozeWholeGrainsVarietyText[0]	Barley	Barley	  
food_info_types_whole_grains[1]	dozeWholeGrainsVarietyText[1]	Buckwheat	Buckwheat	  
food_info_types_whole_grains[2]	dozeWholeGrainsVarietyText[2]	Millet	Millet	  
food_info_types_whole_grains[3]	dozeWholeGrainsVarietyText[3]	Oats	Oats	  
food_info_types_whole_grains[4]	dozeWholeGrainsVarietyText[4]	Popcorn	Popcorn	  
food_info_types_whole_grains[5]	dozeWholeGrainsVarietyText[5]	Quinoa	Quinoa	  
food_info_types_whole_grains[6]	dozeWholeGrainsVarietyText[6]	Rye	Rye	  
food_info_types_whole_grains[7]	dozeWholeGrainsVarietyText[7]	Teff	Teff	  
food_info_types_whole_grains[8]	dozeWholeGrainsVarietyText[8]	Whole-wheat pasta	Whole-wheat pasta	  
food_info_types_beans[0]	dozeBeansVarietyText[0]	Black beans	Black beans	  
food_info_types_beans[1]	dozeBeansVarietyText[1]	Black-eyed peas	Black-eyed peas	  
food_info_types_beans[2]	dozeBeansVarietyText[2]	Butter beans	Butter beans	  
food_info_types_beans[3]	dozeBeansVarietyText[3]	Cannellini beans	Cannellini beans	  
food_info_types_beans[4]	dozeBeansVarietyText[4]	Chickpeas/Garbanzo Beans	Chickpeas	  
food_info_types_beans[5]	dozeBeansVarietyText[5]	Edamame	Edamame	  
food_info_types_beans[6]	dozeBeansVarietyText[6]	English peas	English peas	  
food_info_types_beans[7]	dozeBeansVarietyText[7]	Great northern beans	Great northern beans	  
food_info_types_beans[8]	dozeBeansVarietyText[8]	Kidney beans	Kidney beans	  
food_info_types_beans[9]	dozeBeansVarietyText[9]	Lentils (beluga, french, and red varieties)	Lentils (beluga, french, and red varieties)	  
food_info_types_beans[10]	dozeBeansVarietyText[10]	Miso	Miso	  
food_info_types_beans[11]	dozeBeansVarietyText[11]	Navy beans	Navy beans	  
food_info_types_beans[12]	dozeBeansVarietyText[12]	Pinto beans	Pinto beans	  
food_info_types_beans[13]	dozeBeansVarietyText[13]	Small red beans	Small red beans	  
food_info_types_beans[14]	dozeBeansVarietyText[14]	Split peas (yellow or green)	Split peas (yellow or green)	  
food_info_types_beans[15]	dozeBeansVarietyText[15]	Tempeh	Tempeh	  
food_info_types_flaxseeds[0]	dozeFlaxseedsVarietyText[0]	Brown flaxseeds	Brown flaxseeds	  
food_info_types_flaxseeds[1]	dozeFlaxseedsVarietyText[1]	Golden flaxseeds	Golden flaxseeds	  
food_info_types_cruciferous_vegetables[0]	dozeVegetablesCruciferousVarietyText[0]	Arugula	Arugula	  
food_info_types_cruciferous_vegetables[1]	dozeVegetablesCruciferousVarietyText[1]	Bok choy	Bok choy	  
food_info_types_cruciferous_vegetables[2]	dozeVegetablesCruciferousVarietyText[2]	Broccoli (incl. Romanesco)	Broccoli (incl. Romanesco)	  
food_info_types_cruciferous_vegetables[3]	dozeVegetablesCruciferousVarietyText[3]	Brussels sprouts	Brussels sprouts	  
